Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -963.9437016547275, time: 38.758
steps: 49975, episodes: 2000, mean episode reward: -1218.721543807244, time: 56.721
steps: 74975, episodes: 3000, mean episode reward: -868.4055449666732, time: 56.023
steps: 99975, episodes: 4000, mean episode reward: -836.7960844038879, time: 56.259
steps: 124975, episodes: 5000, mean episode reward: -810.990425147624, time: 55.688
steps: 149975, episodes: 6000, mean episode reward: -793.4593761764277, time: 56.917
steps: 174975, episodes: 7000, mean episode reward: -791.608549525756, time: 56.603
steps: 199975, episodes: 8000, mean episode reward: -791.1081492147674, time: 57.199
steps: 224975, episodes: 9000, mean episode reward: -777.530212866618, time: 56.7
steps: 249975, episodes: 10000, mean episode reward: -780.9094026739119, time: 56.989
steps: 274975, episodes: 11000, mean episode reward: -784.3756462629963, time: 57.007
steps: 299975, episodes: 12000, mean episode reward: -778.6080776978209, time: 57.334
steps: 324975, episodes: 13000, mean episode reward: -776.7078518510223, time: 57.498
steps: 349975, episodes: 14000, mean episode reward: -780.3122822057585, time: 56.98
steps: 374975, episodes: 15000, mean episode reward: -773.9873947481979, time: 57.615
steps: 399975, episodes: 16000, mean episode reward: -772.539832869282, time: 57.466
steps: 424975, episodes: 17000, mean episode reward: -767.5379695096079, time: 57.803
steps: 449975, episodes: 18000, mean episode reward: -764.1547449012525, time: 58.197
steps: 474975, episodes: 19000, mean episode reward: -767.9343798397083, time: 58.274
steps: 499975, episodes: 20000, mean episode reward: -770.9219084233807, time: 58.446
steps: 524975, episodes: 21000, mean episode reward: -766.5797133433971, time: 57.779
steps: 549975, episodes: 22000, mean episode reward: -760.1839109473252, time: 58.262
steps: 574975, episodes: 23000, mean episode reward: -766.7284317067814, time: 58.815
steps: 599975, episodes: 24000, mean episode reward: -762.6894522668127, time: 58.064
steps: 624975, episodes: 25000, mean episode reward: -759.6197065527851, time: 59.684
steps: 649975, episodes: 26000, mean episode reward: -761.3992235135564, time: 54.832
steps: 674975, episodes: 27000, mean episode reward: -760.0909750080449, time: 50.693
steps: 699975, episodes: 28000, mean episode reward: -760.0770779001466, time: 51.393
steps: 724975, episodes: 29000, mean episode reward: -762.2268856149408, time: 50.854
steps: 749975, episodes: 30000, mean episode reward: -753.6537653112183, time: 51.35
steps: 774975, episodes: 31000, mean episode reward: -757.137855537464, time: 50.925
steps: 799975, episodes: 32000, mean episode reward: -755.1686091206325, time: 51.574
steps: 824975, episodes: 33000, mean episode reward: -749.6395127391563, time: 51.716
steps: 849975, episodes: 34000, mean episode reward: -750.6360019249412, time: 51.066
steps: 874975, episodes: 35000, mean episode reward: -752.959136041186, time: 51.116
steps: 899975, episodes: 36000, mean episode reward: -744.5511723898775, time: 52.616
steps: 924975, episodes: 37000, mean episode reward: -743.9796320414521, time: 59.886
steps: 949975, episodes: 38000, mean episode reward: -742.5170645347015, time: 69.774
steps: 974975, episodes: 39000, mean episode reward: -743.6013032861031, time: 93.287
steps: 999975, episodes: 40000, mean episode reward: -743.2496527822303, time: 88.516
steps: 1024975, episodes: 41000, mean episode reward: -745.6753216003717, time: 114.414
steps: 1049975, episodes: 42000, mean episode reward: -744.6253767981771, time: 116.735
steps: 1074975, episodes: 43000, mean episode reward: -747.4451154179997, time: 118.287
steps: 1099975, episodes: 44000, mean episode reward: -740.4139011838831, time: 119.733
steps: 1124975, episodes: 45000, mean episode reward: -746.4264878621742, time: 120.401
steps: 1149975, episodes: 46000, mean episode reward: -741.9059160867242, time: 120.811
steps: 1174975, episodes: 47000, mean episode reward: -735.6917428646309, time: 120.869
steps: 1199975, episodes: 48000, mean episode reward: -738.9136977803919, time: 122.241
steps: 1224975, episodes: 49000, mean episode reward: -735.7729707828888, time: 122.637
steps: 1249975, episodes: 50000, mean episode reward: -732.4686107986652, time: 121.532
steps: 1274975, episodes: 51000, mean episode reward: -736.7572020519702, time: 119.772
steps: 1299975, episodes: 52000, mean episode reward: -731.8661073863394, time: 121.952
steps: 1324975, episodes: 53000, mean episode reward: -736.3880771263881, time: 122.134
steps: 1349975, episodes: 54000, mean episode reward: -734.3280292097074, time: 124.057
steps: 1374975, episodes: 55000, mean episode reward: -727.4755595832763, time: 125.259
steps: 1399975, episodes: 56000, mean episode reward: -732.2502003515591, time: 125.796
steps: 1424975, episodes: 57000, mean episode reward: -729.0320528236216, time: 122.124
steps: 1449975, episodes: 58000, mean episode reward: -724.2628473062008, time: 123.296
steps: 1474975, episodes: 59000, mean episode reward: -721.2771717075066, time: 124.227
steps: 1499975, episodes: 60000, mean episode reward: -724.1943913166367, time: 124.095
...Finished total of 60001 episodes.
